Resource,Zone,Model,Can_Retire,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,Min_Retired_Cap_MW,region,cluster,CapRes_1
MIS_AMSO_LA_WOTA_steam_coal_1,1,1,1,0,2111.4,0,0,0,74732,2.12,11.84,west_south_central_coal,527.85,140,16.5,24,24,0.57,0.57,0,0.3275,0.095,0.19,0,0,2111.4,MIS_AMSO_LA_WOTA,1,0.9
MIS_AMSO_LA_WOTA_natural_gas_fired_combined_cycle_1,1,1,1,0,13236.9,0,0,0,13279,4.16,7.78,west_south_central_naturalgas,490.26,104,2,6,6,0.64,0.64,0,0.341,0.106666667,0.213333333,0,0,661,MIS_AMSO_LA_WOTA,1,0.9
MIS_AMSO_LA_WOTA_natural_gas_fired_combustion_turbine_1,1,1,1,0,4426,0,0,0,12954,5.97,11.15,west_south_central_naturalgas,64.14,135,3.5,1,1,3.78,3.78,0,0.514,0.63,1.26,0,0,123.7,MIS_AMSO_LA_WOTA,1,0.9
MIS_AMSO_LA_WOTA_natural_gas_steam_turbine_1,1,1,1,0,3341.6,0,0,0,45874,1.19,12.75,west_south_central_naturalgas,123.76,99,13.7,24,24,0.57,0.57,0,0.244,0.095,0.19,0,0,3265,MIS_AMSO_LA_WOTA,1,0.9
MIS_AMSO_LA_WOTA_nuclear_1,1,1,1,0,2144,0,0,0,311155,2.84,10.44,west_south_central_uranium,1072,280,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_AMSO_LA_WOTA,1,0.9
MIS_AMSO_LA_WOTA_other_peaker_1,1,1,1,0,135.3,0,0,0,21000,5.63,10.94,west_south_central_naturalgas,13.53,99,0,1,1,3.78,3.78,0,0.463,0.63,1.26,0,0,14,MIS_AMSO_LA_WOTA,1,0.9
MIS_AR_conventional_steam_coal_1,2,1,1,0,3984.1,0,0,0,66128,2.12,10.39,west_south_central_coal,796.82,140,16.5,24,24,0.57,0.57,0,0.282,0.095,0.19,0,0,3304.1,MIS_AR,1,0.9
MIS_AR_natural_gas_fired_combined_cycle_1,2,1,1,0,5156,0,0,0,12763,4.1,7.54,west_south_central_naturalgas,468.73,104,2,6,6,0.64,0.64,0,0.46,0.106666667,0.213333333,0,0,0,MIS_AR,1,0.9
MIS_AR_natural_gas_fired_combustion_turbine_1,2,1,1,0,205.6,0,0,0,13148,5.97,9.82,west_south_central_naturalgas,22.84,135,3.5,1,1,3.78,3.78,0,0.336,0.63,1.26,0,0,0,MIS_AR,1,0.9
MIS_AR_natural_gas_steam_turbine_1,2,1,1,0,284,0,0,0,58012,1.19,11.35,west_south_central_naturalgas,94.67,99,13.7,24,24,0.57,0.57,0,0.123,0.095,0.19,0,0,0,MIS_AR,1,0.9
MIS_AR_nuclear_1,2,1,1,0,1854,0,0,0,218549,2.84,10.44,west_south_central_uranium,927,280,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,852,MIS_AR,1,0.9
MIS_AR_other_peaker_1,2,1,1,0,27,0,0,0,21000,4.42,8.6,west_south_central_naturalgas,2.7,99,0,1,1,3.78,3.78,0,0.179,0.63,1.26,0,0,7.2,MIS_AR,1,0.9
MIS_D_MS_natural_gas_fired_combined_cycle_1,3,1,1,0,2399.2,0,0,0,12244,4.25,7.31,east_south_central_naturalgas,299.9,104,2,6,6,0.64,0.64,0,0.369,0.106666667,0.213333333,0,0,198.8,MIS_D_MS,1,0.9
MIS_D_MS_natural_gas_fired_combustion_turbine_1,3,1,1,0,936.2,0,0,0,12517,5.97,12.31,east_south_central_naturalgas,55.07,135,3.5,1,1,3.78,3.78,0,0.604,0.63,1.26,0,0,0,MIS_D_MS,1,0.9
MIS_D_MS_natural_gas_steam_turbine_1,3,1,1,0,505.6,0,0,0,35280,1.19,16.04,east_south_central_naturalgas,505.6,99,13.7,24,24,0.57,0.57,0,0.376,0.095,0.19,0,0,0,MIS_D_MS,1,0.9
MIS_D_MS_nuclear_1,3,1,1,0,1428,0,0,0,311155,2.84,10.44,east_south_central_uranium,1428,280,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_D_MS,1,0.9
MIS_D_MS_other_peaker_1,3,1,1,0,25.8,0,0,0,21000,3.97,7.73,east_south_central_naturalgas,2.58,99,0,1,1,3.78,3.78,0,0.115,0.63,1.26,0,0,0,MIS_D_MS,1,0.9
MIS_IA_MIDA_conventional_steam_coal_1,4,1,1,0,5048.6,0,0,0,76019,2.12,12.36,west_north_central_coal,360.61,140,16.5,24,24,0.57,0.57,0,0.2645,0.095,0.19,0,0,4057.4,MIS_IA_MIDA,1,0.9
MIS_IA_MIDA_natural_gas_fired_combined_cycle_1,4,1,1,0,1884.3,0,0,0,11067,4.08,8.32,west_north_central_naturalgas,628.1,104,2,6,6,0.64,0.64,0,0.4705,0.106666667,0.213333333,0,0,0,MIS_IA_MIDA,1,0.9
MIS_IA_MIDA_natural_gas_fired_combustion_turbine_1,4,1,1,0,1315.8,0,0,0,13829,5.97,13.01,west_north_central_naturalgas,39.87,135,3.5,1,1,3.78,3.78,0,0.2415,0.63,1.26,0,0,658,MIS_IA_MIDA,1,0.9
MIS_IA_MIDA_natural_gas_steam_turbine_1,4,1,1,0,433.1,0,0,0,58012,1.19,10.94,west_north_central_naturalgas,27.07,99,13.7,24,24,0.57,0.57,0,0.235,0.095,0.19,0,0,387.3,MIS_IA_MIDA,1,0.9
MIS_IA_MIDA_other_peaker_1,4,1,1,0,1201.6,0,0,0,21000,6.02,11.7,west_north_central_naturalgas,3.47,99,0,1,1,3.78,3.78,0,0.31,0.63,1.26,0,0,241,MIS_IA_MIDA,1,0.9
MIS_IL_conventional_steam_coal_1,5,1,1,0,3391.8,0,0,0,71637,2.12,9.52,east_north_central_coal,242.27,140,16.5,24,24,0.57,0.57,0,0.302,0.095,0.19,0,0,1354.8,MIS_IL,1,0.9
MIS_IL_natural_gas_fired_combined_cycle_1,5,1,1,0,1238.5,0,0,0,11067,4.08,7.15,east_north_central_naturalgas,247.7,104,2,6,6,0.64,0.64,0,0.335,0.106666667,0.213333333,0,0,191,MIS_IL,1,0.9
MIS_IL_natural_gas_fired_combustion_turbine_1,5,1,1,0,2938.8,0,0,0,11886,5.97,12.46,east_north_central_naturalgas,59.98,135,3.5,1,1,3.78,3.78,0,0.517,0.63,1.26,0,0,0,MIS_IL,1,0.9
MIS_IL_natural_gas_steam_turbine_1,5,1,1,0,116.3,0,0,0,58012,1.19,9.21,east_north_central_naturalgas,11.63,99,13.7,24,24,0.57,0.57,0,0,0.095,0.19,0,0,89,MIS_IL,1,0.9
MIS_IL_nuclear_1,5,1,1,0,1078,0,0,0,311155,2.84,10.44,east_north_central_uranium,1078,280,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_IL,1,0.9
MIS_IL_other_peaker_1,5,1,1,0,531.6,0,0,0,21000,6.29,12.22,east_north_central_naturalgas,2.78,99,0,1,1,3.78,3.78,0,0.401,0.63,1.26,0,0,223.6,MIS_IL,1,0.9
MIS_INKY_conventional_steam_coal_1,6,1,1,0,11908.5,0,0,0,75002,2.12,10.38,east_north_central_coal,441.06,140,16.5,24,24,0.57,0.57,0,0.319,0.095,0.19,0,0,11908.5,MIS_INKY,1,0.9
MIS_INKY_natural_gas_fired_combined_cycle_1,6,1,1,0,2074,0,0,0,12200,4.24,7.92,east_north_central_naturalgas,518.5,104,2,6,6,0.64,0.64,0,0.515,0.106666667,0.213333333,0,0,87,MIS_INKY,1,0.9
MIS_INKY_natural_gas_fired_combustion_turbine_1,6,1,1,0,4170,0,0,0,12058,5.97,12.49,east_north_central_naturalgas,83.4,135,3.5,1,1,3.78,3.78,0,0.478,0.63,1.26,0,0,65,MIS_INKY,1,0.9
MIS_INKY_natural_gas_steam_turbine_1,6,1,1,0,704.2,0,0,0,38062,1.19,16.95,east_north_central_naturalgas,70.42,99,13.7,24,24,0.57,0.57,0,0.275,0.095,0.19,0,0,690.8,MIS_INKY,1,0.9
MIS_INKY_other_peaker_1,6,1,1,0,128.1,0,0,0,21000,5.66,11,east_north_central_naturalgas,2.85,99,0,1,1,3.78,3.78,0,0.327,0.63,1.26,0,0,81.6,MIS_INKY,1,0.9
MIS_LMI_conventional_steam_coal_1,7,1,1,0,3088.3,0,0,0,75603,2.12,10.64,east_north_central_coal,514.72,140,16.5,24,24,0.57,0.57,0,0.363,0.095,0.19,0,0,3026.9,MIS_LMI,1,0.9
MIS_LMI_natural_gas_fired_combined_cycle_1,7,1,1,0,6761.1,0,0,0,13766,4.16,8.03,east_north_central_naturalgas,281.71,104,2,6,6,0.64,0.64,0,0.413,0.106666667,0.213333333,0,0,0,MIS_LMI,1,0.9
MIS_LMI_natural_gas_fired_combustion_turbine_1,7,1,1,0,4675.7,0,0,0,11997,5.97,11.6,east_north_central_naturalgas,74.22,135,3.5,1,1,3.78,3.78,0,0.464,0.63,1.26,0,0,276.5,MIS_LMI,1,0.9
MIS_LMI_natural_gas_steam_turbine_1,7,1,1,0,1868.4,0,0,0,36866,1.19,19.46,east_north_central_naturalgas,109.91,99,13.7,24,24,0.57,0.57,0,0.157,0.095,0.19,0,0,1837.9,MIS_LMI,1,0.9
MIS_LMI_nuclear_1,7,1,1,0,1161,0,0,0,311155,2.84,10.44,east_north_central_uranium,1161,280,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_LMI,1,0.9
MIS_LMI_other_peaker_1,7,1,1,0,567.8,0,0,0,21000,6.49,12.61,east_north_central_naturalgas,3.78,99,0,1,1,3.78,3.78,0,0.283,0.63,1.26,0,0,462,MIS_LMI,1,0.9
MIS_MAPP_MNWI_conventional_steam_coal_1,8,1,1,0,6363.8,0,0,0,77739,2.12,10.72,west_north_central_coal,235.7,140,16.5,24,24,0.57,0.57,0,0.365,0.095,0.19,0,0,6296.1,MIS_MAPP_MNWI,1,0.9
MIS_MAPP_MNWI_natural_gas_fired_combined_cycle_1,8,1,1,0,2782.9,0,0,0,13674,4.45,7.33,west_north_central_naturalgas,278.29,104,2,6,6,0.64,0.64,0,0.489,0.106666667,0.213333333,0,0,117,MIS_MAPP_MNWI,1,0.9
MIS_MAPP_MNWI_natural_gas_fired_combustion_turbine_1,8,1,1,0,3436.5,0,0,0,12772,5.97,11.85,west_north_central_naturalgas,79.92,135,3.5,1,1,3.78,3.78,0,0.334,0.63,1.26,0,0,885.7,MIS_MAPP_MNWI,1,0.9
MIS_MAPP_MNWI_natural_gas_steam_turbine_1,8,1,1,0,216.7,0,0,0,58012,1.19,14.96,west_north_central_naturalgas,19.7,99,13.7,24,24,0.57,0.57,0,0.335,0.095,0.19,0,0,215.7,MIS_MAPP_MNWI,1,0.9
MIS_MAPP_MNWI_nuclear_1,8,1,1,0,1738,0,0,0,281883,2.84,10.44,west_north_central_uranium,579.33,280,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,1738,MIS_MAPP_MNWI,1,0.9
MIS_MAPP_MNWI_other_peaker_1,8,1,1,0,1107.8,0,0,0,21000,6.45,12.76,west_north_central_naturalgas,3.46,99,0,1,1,3.78,3.78,0,0.41,0.63,1.26,0,0,943.9,MIS_MAPP_MNWI,1,0.9
MIS_MO_conventional_steam_coal_1,9,1,1,0,2464,0,0,0,72400,2.12,10.54,west_north_central_coal,616,140,16.5,24,24,0.57,0.57,0,0.465,0.095,0.19,0,0,2464,MIS_MO,1,0.9
MIS_MO_natural_gas_fired_combined_cycle_1,9,1,1,0,83.6,0,0,0,18649,5.15,7.65,west_north_central_naturalgas,27.87,104,2,6,6,0.64,0.64,0,0.24,0.106666667,0.213333333,0,0,0,MIS_MO,1,0.9
MIS_MO_natural_gas_fired_combustion_turbine_1,9,1,1,0,1941.7,0,0,0,11981,5.97,12.3,west_north_central_naturalgas,64.72,135,3.5,1,1,3.78,3.78,0,0.555,0.63,1.26,0,0,32.1,MIS_MO,1,0.9
MIS_MO_natural_gas_steam_turbine_1,9,1,1,0,123.6,0,0,0,58012,1.19,10.22,west_north_central_naturalgas,11.24,99,13.7,24,24,0.57,0.57,0,0.099,0.095,0.19,0,0,106.9,MIS_MO,1,0.9
MIS_MO_nuclear_1,9,1,1,0,1295,0,0,0,311155,2.84,10.44,west_north_central_uranium,1295,280,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_MO,1,0.9
MIS_MO_other_peaker_1,9,1,1,0,497.9,0,0,0,21000,6.53,12.69,west_north_central_naturalgas,5.66,99,0,1,1,3.78,3.78,0,0.155,0.63,1.26,0,0,409.1,MIS_MO,1,0.9
MIS_WUMS_conventional_steam_coal_1,10,1,1,0,2236.4,0,0,0,68078,2.12,9.91,east_north_central_coal,248.49,140,16.5,24,24,0.57,0.57,0,0.43,0.095,0.19,0,0,404.1,MIS_WUMS,1,0.9
MIS_WUMS_natural_gas_fired_combined_cycle_1,10,1,1,0,3761.7,0,0,0,13020,4.19,7.14,east_north_central_naturalgas,417.97,104,2,6,6,0.64,0.64,0,0.458,0.106666667,0.213333333,0,0,0,MIS_WUMS,1,0.9
MIS_WUMS_natural_gas_fired_combustion_turbine_1,10,1,1,0,3177.8,0,0,0,11785,5.97,13.32,east_north_central_naturalgas,88.27,135,3.5,1,1,3.78,3.78,0,0.486,0.63,1.26,0,0,294.2,MIS_WUMS,1,0.9
MIS_WUMS_natural_gas_steam_turbine_1,10,1,1,0,432.8,0,0,0,58012,1.19,22.95,east_north_central_naturalgas,33.29,99,13.7,24,24,0.57,0.57,0,0.128,0.095,0.19,0,0,425.8,MIS_WUMS,1,0.9
MIS_WUMS_nuclear_1,10,1,1,0,1190.1,0,0,0,218549,2.84,10.44,east_north_central_uranium,595.05,280,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,1190.1,MIS_WUMS,1,0.9
MIS_WUMS_other_peaker_1,10,1,1,0,837.7,0,0,0,21000,5.81,11.3,east_north_central_naturalgas,11.02,99,0,1,1,3.78,3.78,0,0.283,0.63,1.26,0,0,353,MIS_WUMS,1,0.9
MIS_AMSO_LA_WOTA_naturalgas_ccccsavgcf_moderate_0,1,1,0,1,0,-1,0,106741,68976,6.78,6.42,west_south_central_naturalgas_ccs95,500,135,0,6,6,0.64,0.64,0,0.6,0.106666667,0.213333333,0,0,0,MIS_AMSO_LA_WOTA,0,0.9
MIS_AMSO_LA_WOTA_naturalgas_ccavgcf_moderate_0,1,1,0,1,0,-1,0,49556,31661,2.26,6.36,west_south_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.213333333,0,0,0,MIS_AMSO_LA_WOTA,0,0.9
MIS_AMSO_LA_WOTA_naturalgas_ctavgcf_moderate_0,1,1,0,1,0,-1,0,42057,23746,5.65,9.72,west_south_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,MIS_AMSO_LA_WOTA,0,0.9
MIS_AMSO_LA_WOTA_nuclear_nuclear_moderate_0,1,1,0,1,0,-1,0,294198,165046,3.21,10.44,west_south_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_AMSO_LA_WOTA,0,0.9
MIS_AR_naturalgas_ccccsavgcf_moderate_0,2,1,0,1,0,-1,0,106741,68976,6.78,6.42,west_south_central_naturalgas_ccs95,500,135,0,6,6,0.64,0.64,0,0.6,0.106666667,0.213333333,0,0,0,MIS_AR,0,0.9
MIS_AR_naturalgas_ccavgcf_moderate_0,2,1,0,1,0,-1,0,49556,31661,2.26,6.36,west_south_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.213333333,0,0,0,MIS_AR,0,0.9
MIS_AR_naturalgas_ctavgcf_moderate_0,2,1,0,1,0,-1,0,42057,23746,5.65,9.72,west_south_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,MIS_AR,0,0.9
MIS_AR_nuclear_nuclear_moderate_0,2,1,0,1,0,-1,0,294198,165046,3.21,10.44,west_south_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_AR,0,0.9
MIS_D_MS_naturalgas_ccccsavgcf_moderate_0,3,1,0,1,0,-1,0,106741,68976,6.78,6.42,east_south_central_naturalgas_ccs95,500,135,0,6,6,0.64,0.64,0,0.6,0.106666667,0.213333333,0,0,0,MIS_D_MS,0,0.9
MIS_D_MS_naturalgas_ccavgcf_moderate_0,3,1,0,1,0,-1,0,49556,31661,2.26,6.36,east_south_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.213333333,0,0,0,MIS_D_MS,0,0.9
MIS_D_MS_naturalgas_ctavgcf_moderate_0,3,1,0,1,0,-1,0,42057,23746,5.65,9.72,east_south_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,MIS_D_MS,0,0.9
MIS_D_MS_nuclear_nuclear_moderate_0,3,1,0,1,0,-1,0,294198,165046,3.21,10.44,east_south_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_D_MS,0,0.9
MIS_IA_MIDA_naturalgas_ccccsavgcf_moderate_0,4,1,0,1,0,-1,0,113700,68976,6.78,6.42,west_north_central_naturalgas_ccs95,500,135,0,6,6,0.64,0.64,0,0.6,0.106666667,0.213333333,0,0,0,MIS_IA_MIDA,0,0.9
MIS_IA_MIDA_naturalgas_ccavgcf_moderate_0,4,1,0,1,0,-1,0,56483,31661,2.26,6.36,west_north_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.213333333,0,0,0,MIS_IA_MIDA,0,0.9
MIS_IA_MIDA_naturalgas_ctavgcf_moderate_0,4,1,0,1,0,-1,0,48561,23746,5.65,9.72,west_north_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,MIS_IA_MIDA,0,0.9
MIS_IA_MIDA_nuclear_nuclear_moderate_0,4,1,0,1,0,-1,0,303740,165046,3.21,10.44,west_north_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_IA_MIDA,0,0.9
MIS_IL_naturalgas_ccccsavgcf_moderate_0,5,1,0,1,0,-1,0,113265,68976,6.78,6.42,east_north_central_naturalgas_ccs95,500,135,0,6,6,0.64,0.64,0,0.6,0.106666667,0.213333333,0,0,0,MIS_IL,0,0.9
MIS_IL_naturalgas_ccavgcf_moderate_0,5,1,0,1,0,-1,0,56539,31661,2.26,6.36,east_north_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.213333333,0,0,0,MIS_IL,0,0.9
MIS_IL_naturalgas_ctavgcf_moderate_0,5,1,0,1,0,-1,0,48046,23746,5.65,9.72,east_north_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,MIS_IL,0,0.9
MIS_IL_nuclear_nuclear_moderate_0,5,1,0,1,0,-1,0,327781,165046,3.21,10.44,east_north_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_IL,0,0.9
MIS_INKY_naturalgas_ccccsavgcf_moderate_0,6,1,0,1,0,-1,0,113265,68976,6.78,6.42,east_north_central_naturalgas_ccs95,500,135,0,6,6,0.64,0.64,0,0.6,0.106666667,0.213333333,0,0,0,MIS_INKY,0,0.9
MIS_INKY_naturalgas_ccavgcf_moderate_0,6,1,0,1,0,-1,0,56539,31661,2.26,6.36,east_north_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.213333333,0,0,0,MIS_INKY,0,0.9
MIS_INKY_naturalgas_ctavgcf_moderate_0,6,1,0,1,0,-1,0,48046,23746,5.65,9.72,east_north_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,MIS_INKY,0,0.9
MIS_INKY_nuclear_nuclear_moderate_0,6,1,0,1,0,-1,0,327781,165046,3.21,10.44,east_north_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_INKY,0,0.9
MIS_LMI_naturalgas_ccccsavgcf_moderate_0,7,1,0,1,0,-1,0,115005,68976,6.78,6.42,east_north_central_naturalgas_ccs95,500,135,0,6,6,0.64,0.64,0,0.6,0.106666667,0.213333333,0,0,0,MIS_LMI,0,0.9
MIS_LMI_naturalgas_ccavgcf_moderate_0,7,1,0,1,0,-1,0,58003,31661,2.26,6.36,east_north_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.213333333,0,0,0,MIS_LMI,0,0.9
MIS_LMI_naturalgas_ctavgcf_moderate_0,7,1,0,1,0,-1,0,49528,23746,5.65,9.72,east_north_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,MIS_LMI,0,0.9
MIS_LMI_nuclear_nuclear_moderate_0,7,1,0,1,0,-1,0,316462,165046,3.21,10.44,east_north_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_LMI,0,0.9
MIS_MAPP_MNWI_naturalgas_ccccsavgcf_moderate_0,8,1,0,1,0,-1,0,103957,68976,6.78,6.42,west_north_central_naturalgas_ccs95,500,135,0,6,6,0.64,0.64,0,0.6,0.106666667,0.213333333,0,0,0,MIS_MAPP_MNWI,0,0.9
MIS_MAPP_MNWI_naturalgas_ccavgcf_moderate_0,8,1,0,1,0,-1,0,49106,31661,2.26,6.36,west_north_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.213333333,0,0,0,MIS_MAPP_MNWI,0,0.9
MIS_MAPP_MNWI_naturalgas_ctavgcf_moderate_0,8,1,0,1,0,-1,0,42443,23746,5.65,9.72,west_north_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,MIS_MAPP_MNWI,0,0.9
MIS_MAPP_MNWI_nuclear_nuclear_moderate_0,8,1,0,1,0,-1,0,285966,165046,3.21,10.44,west_north_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_MAPP_MNWI,0,0.9
MIS_MO_naturalgas_ccccsavgcf_moderate_0,9,1,0,1,0,-1,0,113265,68976,6.78,6.42,west_north_central_naturalgas_ccs95,500,135,0,6,6,0.64,0.64,0,0.6,0.106666667,0.213333333,0,0,0,MIS_MO,0,0.9
MIS_MO_naturalgas_ccavgcf_moderate_0,9,1,0,1,0,-1,0,56539,31661,2.26,6.36,west_north_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.213333333,0,0,0,MIS_MO,0,0.9
MIS_MO_naturalgas_ctavgcf_moderate_0,9,1,0,1,0,-1,0,48046,23746,5.65,9.72,west_north_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,MIS_MO,0,0.9
MIS_MO_nuclear_nuclear_moderate_0,9,1,0,1,0,-1,0,327781,165046,3.21,10.44,west_north_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_MO,0,0.9
MIS_WUMS_naturalgas_ccccsavgcf_moderate_0,10,1,0,1,0,-1,0,113700,68976,6.78,6.42,east_north_central_naturalgas_ccs95,500,135,0,6,6,0.64,0.64,0,0.6,0.106666667,0.213333333,0,0,0,MIS_WUMS,0,0.9
MIS_WUMS_naturalgas_ccavgcf_moderate_0,10,1,0,1,0,-1,0,56483,31661,2.26,6.36,east_north_central_naturalgas,500,135,2,6,6,0.64,0.64,0,0.2,0.106666667,0.213333333,0,0,0,MIS_WUMS,0,0.9
MIS_WUMS_naturalgas_ctavgcf_moderate_0,10,1,0,1,0,-1,0,48561,23746,5.65,9.72,east_north_central_naturalgas,100,176,3.5,1,1,3.78,3.78,0,0.3,0.63,1.26,0,0,0,MIS_WUMS,0,0.9
MIS_WUMS_nuclear_nuclear_moderate_0,10,1,0,1,0,-1,0,303740,165046,3.21,10.44,east_north_central_uranium,500,365,0,24,24,0.25,0.25,0,0.5,0.041666667,0.083333333,0,0,0,MIS_WUMS,0,0.9
