Resource,Derating_Factor_1
SPP_N_batteries_1,0
SPP_N_biomass_1,0.9
SPP_N_conventional_hydroelectric_1,0.8
SPP_N_conventional_steam_coal_1,0.9
SPP_N_natural_gas_fired_combined_cycle_1,0.9
SPP_N_natural_gas_fired_combustion_turbine_1,0.9
SPP_N_natural_gas_steam_turbine_1,0.9
SPP_N_nuclear_1,0.9
SPP_N_onshore_wind_turbine_1,0.8
SPP_N_other_peaker_1,0.9
SPP_N_small_hydroelectric_1,0.8
SPP_N_solar_photovoltaic_1,0.8
SPP_NEBR_batteries_1,0
SPP_NEBR_biomass_1,0.9
SPP_NEBR_conventional_hydroelectric_1,0.8
SPP_NEBR_conventional_steam_coal_1,0.9
SPP_NEBR_natural_gas_fired_combined_cycle_1,0.9
SPP_NEBR_natural_gas_fired_combustion_turbine_1,0.9
SPP_NEBR_natural_gas_steam_turbine_1,0.9
SPP_NEBR_nuclear_1,0.9
SPP_NEBR_onshore_wind_turbine_1,0.8
SPP_NEBR_other_peaker_1,0.9
SPP_NEBR_small_hydroelectric_1,0.8
SPP_NEBR_solar_photovoltaic_1,0.8
SPP_SPS_batteries_1,0
SPP_SPS_conventional_steam_coal_1,0.9
SPP_SPS_natural_gas_fired_combined_cycle_1,0.9
SPP_SPS_natural_gas_fired_combustion_turbine_1,0.9
SPP_SPS_natural_gas_steam_turbine_1,0.9
SPP_SPS_onshore_wind_turbine_1,0.8
SPP_SPS_other_peaker_1,0.9
SPP_SPS_solar_photovoltaic_1,0.8
SPP_WAUE_batteries_1,0
SPP_WAUE_biomass_1,0.9
SPP_WAUE_conventional_hydroelectric_1,0.8
SPP_WAUE_conventional_steam_coal_1,0.9
SPP_WAUE_natural_gas_fired_combined_cycle_1,0.9
SPP_WAUE_natural_gas_fired_combustion_turbine_1,0.9
SPP_WAUE_natural_gas_steam_turbine_1,0.9
SPP_WAUE_onshore_wind_turbine_1,0.8
SPP_WAUE_other_peaker_1,0.9
SPP_WAUE_solar_photovoltaic_1,0.8
SPP_WEST_batteries_1,0
SPP_WEST_biomass_1,0.9
SPP_WEST_conventional_hydroelectric_1,0.8
SPP_WEST_conventional_steam_coal_1,0.9
SPP_WEST_hydroelectric_pumped_storage_1,0.95
SPP_WEST_natural_gas_fired_combined_cycle_1,0.9
SPP_WEST_natural_gas_fired_combustion_turbine_1,0.9
SPP_WEST_natural_gas_steam_turbine_1,0.9
SPP_WEST_onshore_wind_turbine_1,0.8
SPP_WEST_other_peaker_1,0.9
SPP_WEST_small_hydroelectric_1,0.8
SPP_WEST_solar_photovoltaic_1,0.8
SPP_N_naturalgas_ccccsavgcf_moderate_0,0.9
SPP_N_naturalgas_ccavgcf_moderate_0,0.9
SPP_N_naturalgas_ctavgcf_moderate_0,0.9
SPP_N_battery_advanced_0,0.95
SPP_N_nuclear_nuclear_moderate_0,0.9
SPP_N_landbasedwind_class3_advanced_0,0.8
SPP_N_landbasedwind_class3_advanced_1,0.8
SPP_N_landbasedwind_class3_advanced_2,0.8
SPP_N_landbasedwind_class3_advanced_3,0.8
SPP_N_utilitypv_class1_advanced_0,0.8
SPP_N_utilitypv_class1_advanced_1,0.8
SPP_N_utilitypv_class1_advanced_2,0.8
SPP_N_utilitypv_class1_advanced_3,0.8
SPP_NEBR_naturalgas_ccccsavgcf_moderate_0,0.9
SPP_NEBR_naturalgas_ccavgcf_moderate_0,0.9
SPP_NEBR_naturalgas_ctavgcf_moderate_0,0.9
SPP_NEBR_battery_advanced_0,0.95
SPP_NEBR_nuclear_nuclear_moderate_0,0.9
SPP_NEBR_landbasedwind_class3_advanced_0,0.8
SPP_NEBR_landbasedwind_class3_advanced_1,0.8
SPP_NEBR_landbasedwind_class3_advanced_2,0.8
SPP_NEBR_landbasedwind_class3_advanced_3,0.8
SPP_NEBR_utilitypv_class1_advanced_0,0.8
SPP_NEBR_utilitypv_class1_advanced_1,0.8
SPP_NEBR_utilitypv_class1_advanced_2,0.8
SPP_NEBR_utilitypv_class1_advanced_3,0.8
SPP_SPS_naturalgas_ccccsavgcf_moderate_0,0.9
SPP_SPS_naturalgas_ccavgcf_moderate_0,0.9
SPP_SPS_naturalgas_ctavgcf_moderate_0,0.9
SPP_SPS_battery_advanced_0,0.95
SPP_SPS_nuclear_nuclear_moderate_0,0.9
SPP_SPS_landbasedwind_class3_advanced_0,0.8
SPP_SPS_landbasedwind_class3_advanced_1,0.8
SPP_SPS_landbasedwind_class3_advanced_2,0.8
SPP_SPS_landbasedwind_class3_advanced_3,0.8
SPP_SPS_utilitypv_class1_advanced_0,0.8
SPP_SPS_utilitypv_class1_advanced_1,0.8
SPP_SPS_utilitypv_class1_advanced_2,0.8
SPP_SPS_utilitypv_class1_advanced_3,0.8
SPP_WAUE_naturalgas_ccccsavgcf_moderate_0,0.9
SPP_WAUE_naturalgas_ccavgcf_moderate_0,0.9
SPP_WAUE_naturalgas_ctavgcf_moderate_0,0.9
SPP_WAUE_battery_advanced_0,0.95
SPP_WAUE_nuclear_nuclear_moderate_0,0.9
SPP_WAUE_landbasedwind_class3_advanced_0,0.8
SPP_WAUE_landbasedwind_class3_advanced_1,0.8
SPP_WAUE_landbasedwind_class3_advanced_2,0.8
SPP_WAUE_landbasedwind_class3_advanced_3,0.8
SPP_WAUE_utilitypv_class1_advanced_0,0.8
SPP_WAUE_utilitypv_class1_advanced_1,0.8
SPP_WAUE_utilitypv_class1_advanced_2,0.8
SPP_WAUE_utilitypv_class1_advanced_3,0.8
SPP_WEST_naturalgas_ccccsavgcf_moderate_0,0.9
SPP_WEST_naturalgas_ccavgcf_moderate_0,0.9
SPP_WEST_naturalgas_ctavgcf_moderate_0,0.9
SPP_WEST_battery_advanced_0,0.95
SPP_WEST_nuclear_nuclear_moderate_0,0.9
SPP_WEST_landbasedwind_class3_advanced_0,0.8
SPP_WEST_landbasedwind_class3_advanced_1,0.8
SPP_WEST_landbasedwind_class3_advanced_2,0.8
SPP_WEST_landbasedwind_class3_advanced_3,0.8
SPP_WEST_utilitypv_class1_advanced_0,0.8
SPP_WEST_utilitypv_class1_advanced_1,0.8
SPP_WEST_utilitypv_class1_advanced_2,0.8
SPP_WEST_utilitypv_class1_advanced_3,0.8
SPP_N_TES,0
SPP_NEBR_TES,0
SPP_SPS_TES,0
SPP_WAUE_TES,0
SPP_WEST_TES,0
SPP_N_res_water_heat_1,0
SPP_NEBR_res_water_heat_1,0
SPP_SPS_res_water_heat_1,0
SPP_WAUE_res_water_heat_1,0
SPP_WEST_res_water_heat_1,0
SPP_N_trans_light_duty_1,0
SPP_NEBR_trans_light_duty_1,0
SPP_SPS_trans_light_duty_1,0
SPP_WAUE_trans_light_duty_1,0
SPP_WEST_trans_light_duty_1,0
