Resource,Zone,Num_VRE_Bins,New_Build,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,region,cluster,CapRes_1
SPP_N_onshore_wind_turbine_1,1,1,0,8379.7,0,0,0,42190,0,SPP_N,1,0.8
SPP_N_solar_photovoltaic_1,1,1,0,101.9,0,0,0,19951,0,SPP_N,1,0.8
SPP_NEBR_onshore_wind_turbine_1,2,1,0,4206.6,0,0,0,42190,0,SPP_NEBR,1,0.8
SPP_NEBR_solar_photovoltaic_1,2,1,0,119.6,0,0,0,19951,0,SPP_NEBR,1,0.8
SPP_SPS_onshore_wind_turbine_1,3,1,0,8076.9,0,0,0,42190,0,SPP_SPS,1,0.8
SPP_SPS_solar_photovoltaic_1,3,1,0,268.4,0,0,0,19951,0,SPP_SPS,1,0.8
SPP_WAUE_onshore_wind_turbine_1,4,1,0,3381.8,0,0,0,42190,0,SPP_WAUE,1,0.8
SPP_WAUE_solar_photovoltaic_1,4,1,0,7,0,0,0,19951,0,SPP_WAUE,1,0.8
SPP_WEST_onshore_wind_turbine_1,5,1,0,12019.2,0,0,0,42190,0,SPP_WEST,1,0.8
SPP_WEST_solar_photovoltaic_1,5,1,0,335.2,0,0,0,19951,0,SPP_WEST,1,0.8
SPP_N_landbasedwind_class3_advanced_0,1,1,1,0,17382.2,0,105821,27713,-27.5,SPP_N,0,0.8
SPP_N_landbasedwind_class3_advanced_1,1,1,1,0,8737,0,114597,27713,-27.5,SPP_N,1,0.8
SPP_N_landbasedwind_class3_advanced_2,1,1,1,0,18379.3,0,159620,27713,-27.5,SPP_N,2,0.8
SPP_N_landbasedwind_class3_advanced_3,1,1,1,0,7722.2,0,118244,27713,-27.5,SPP_N,3,0.8
SPP_N_utilitypv_class1_advanced_0,1,1,1,0,235183.1,0,63203,13738,-27.5,SPP_N,0,0.8
SPP_N_utilitypv_class1_advanced_1,1,1,1,0,67961.2,0,67937,13738,-27.5,SPP_N,1,0.8
SPP_N_utilitypv_class1_advanced_2,1,1,1,0,148947.5,0,70544,13738,-27.5,SPP_N,2,0.8
SPP_N_utilitypv_class1_advanced_3,1,1,1,0,154096.3,0,125551,13738,-27.5,SPP_N,3,0.8
SPP_NEBR_landbasedwind_class3_advanced_0,2,1,1,0,45133.9,0,110399,27713,-27.5,SPP_NEBR,0,0.8
SPP_NEBR_landbasedwind_class3_advanced_1,2,1,1,0,58987.6,0,116483,27713,-27.5,SPP_NEBR,1,0.8
SPP_NEBR_landbasedwind_class3_advanced_2,2,1,1,0,83538.3,0,365281,27713,-27.5,SPP_NEBR,2,0.8
SPP_NEBR_landbasedwind_class3_advanced_3,2,1,1,0,20532.5,0,332687,27713,-27.5,SPP_NEBR,3,0.8
SPP_NEBR_utilitypv_class1_advanced_0,2,1,1,0,461663,0,66254,13738,-27.5,SPP_NEBR,0,0.8
SPP_NEBR_utilitypv_class1_advanced_1,2,1,1,0,356174.6,0,72034,13738,-27.5,SPP_NEBR,1,0.8
SPP_NEBR_utilitypv_class1_advanced_2,2,1,1,0,741932.2,0,248857,13738,-27.5,SPP_NEBR,2,0.8
SPP_NEBR_utilitypv_class1_advanced_3,2,1,1,0,75876,0,73320,13738,-27.5,SPP_NEBR,3,0.8
SPP_SPS_landbasedwind_class3_advanced_0,3,1,1,0,63357.7,0,113162,27713,-27.5,SPP_SPS,0,0.8
SPP_SPS_landbasedwind_class3_advanced_1,3,1,1,0,33382.3,0,106161,27713,-27.5,SPP_SPS,1,0.8
SPP_SPS_landbasedwind_class3_advanced_2,3,1,1,0,25495.7,0,250251,27713,-27.5,SPP_SPS,2,0.8
SPP_SPS_landbasedwind_class3_advanced_3,3,1,1,0,71066.8,0,434901,27713,-27.5,SPP_SPS,3,0.8
SPP_SPS_utilitypv_class1_advanced_0,3,1,1,0,302223.9,0,70136,13738,-27.5,SPP_SPS,0,0.8
SPP_SPS_utilitypv_class1_advanced_1,3,1,1,0,334875.7,0,68271,13738,-27.5,SPP_SPS,1,0.8
SPP_SPS_utilitypv_class1_advanced_2,3,1,1,0,517041.9,0,334338,13738,-27.5,SPP_SPS,2,0.8
SPP_SPS_utilitypv_class1_advanced_3,3,1,1,0,120012.7,0,76523,13738,-27.5,SPP_SPS,3,0.8
SPP_WAUE_landbasedwind_class3_advanced_0,4,1,1,0,82189.9,0,108036,27713,-27.5,SPP_WAUE,0,0.8
SPP_WAUE_landbasedwind_class3_advanced_1,4,1,1,0,48089.8,0,113188,27713,-27.5,SPP_WAUE,1,0.8
SPP_WAUE_landbasedwind_class3_advanced_2,4,1,1,0,97771.2,0,169146,27713,-27.5,SPP_WAUE,2,0.8
SPP_WAUE_landbasedwind_class3_advanced_3,4,1,1,0,32456.7,0,192750,27713,-27.5,SPP_WAUE,3,0.8
SPP_WAUE_utilitypv_class1_advanced_0,4,1,1,0,492026.8,0,64382,13738,-27.5,SPP_WAUE,0,0.8
SPP_WAUE_utilitypv_class1_advanced_1,4,1,1,0,323551.4,0,68970,13738,-27.5,SPP_WAUE,1,0.8
SPP_WAUE_utilitypv_class1_advanced_2,4,1,1,0,523455.3,0,145883,13738,-27.5,SPP_WAUE,2,0.8
SPP_WAUE_utilitypv_class1_advanced_3,4,1,1,0,292041.4,0,87377,13738,-27.5,SPP_WAUE,3,0.8
SPP_WEST_landbasedwind_class3_advanced_0,5,1,1,0,65722.1,0,115530,27713,-27.5,SPP_WEST,0,0.8
SPP_WEST_landbasedwind_class3_advanced_1,5,1,1,0,40681.7,0,110119,27713,-27.5,SPP_WEST,1,0.8
SPP_WEST_landbasedwind_class3_advanced_2,5,1,1,0,92400,0,188194,27713,-27.5,SPP_WEST,2,0.8
SPP_WEST_landbasedwind_class3_advanced_3,5,1,1,0,13931.7,0,160660,27713,-27.5,SPP_WEST,3,0.8
SPP_WEST_utilitypv_class1_advanced_0,5,1,1,0,602966.1,0,69180,13738,-27.5,SPP_WEST,0,0.8
SPP_WEST_utilitypv_class1_advanced_1,5,1,1,0,200632.1,0,64527,13738,-27.5,SPP_WEST,1,0.8
SPP_WEST_utilitypv_class1_advanced_2,5,1,1,0,609747.9,0,139424,13738,-27.5,SPP_WEST,2,0.8
SPP_WEST_utilitypv_class1_advanced_3,5,1,1,0,193753.9,0,73782,13738,-27.5,SPP_WEST,3,0.8